地域,学歴,初任給_千円,人口_千人,人口_対数,大卒ダミー,大学院卒ダミー
北海道,高卒,174.5,5092.0,8.535425959677298,0,0
青森県,高卒,173.5,1184.0,7.076653815443951,0,0
岩手県,高卒,179.6,1163.0,7.0587581525186645,0,0
宮城県,高卒,184.9,2264.0,7.724888439323074,0,0
秋田県,高卒,168.7,914.0,6.81783057145415,0,0
山形県,高卒,175.4,1026.0,6.933423025730715,0,0
福島県,高卒,183.7,1767.0,7.4770384723196965,0,0
茨城県,高卒,185.4,2825.0,7.946263643580541,0,0
栃木県,高卒,187.3,1897.0,7.5480289699350145,0,0
群馬県,高卒,190.8,1902.0,7.550661243105336,0,0
埼玉県,高卒,199.3,7331.0,8.899867211223587,0,0
千葉県,高卒,190.6,6257.0,8.741456115998364,0,0
東京都,高卒,187.2,14086.0,9.552936675305356,0,0
神奈川県,高卒,201.4,9229.0,9.130105979265577,0,0
新潟県,高卒,175.7,2126.0,7.661997558901893,0,0
富山県,高卒,187.1,1007.0,6.914730892718563,0,0
石川県,高卒,187.2,1109.0,7.011213987350367,0,0
福井県,高卒,186.0,744.0,6.612041034833092,0,0
山梨県,高卒,190.0,796.0,6.679599185844383,0,0
長野県,高卒,183.5,2004.0,7.602900462204755,0,0
岐阜県,高卒,180.8,1931.0,7.565793282428515,0,0
静岡県,高卒,189.7,3555.0,8.176110342237342,0,0
愛知県,高卒,185.7,7477.0,8.919586920999915,0,0
三重県,高卒,207.6,1727.0,7.454141078146678,0,0
滋賀県,高卒,198.2,1407.0,7.249215057114389,0,0
京都府,高卒,202.4,2535.0,7.837948916025283,0,0
大阪府,高卒,193.5,8763.0,9.07829359105585,0,0
兵庫県,高卒,192.0,5370.0,8.58858318750291,0,0
奈良県,高卒,188.6,1296.0,7.16703787691222,0,0
和歌山県,高卒,180.0,892.0,6.79346613258001,0,0
鳥取県,高卒,171.0,537.0,6.285998094508865,0,0
島根県,高卒,174.3,650.0,6.476972362889683,0,0
岡山県,高卒,182.2,1847.0,7.52131798019924,0,0
広島県,高卒,191.1,2738.0,7.914983005848394,0,0
山口県,高卒,185.5,1298.0,7.168579897264035,0,0
徳島県,高卒,183.7,695.0,6.543911845564792,0,0
香川県,高卒,184.8,926.0,6.8308742346461795,0,0
愛媛県,高卒,181.9,1291.0,7.1631723908466425,0,0
高知県,高卒,175.0,666.0,6.501289670540389,0,0
福岡県,高卒,185.5,5103.0,8.537583881063972,0,0
佐賀県,高卒,172.7,795.0,6.678342114654332,0,0
長崎県,高卒,168.6,1267.0,7.144407180321139,0,0
熊本県,高卒,177.4,1709.0,7.443663683115591,0,0
大分県,高卒,181.0,1096.0,6.999422467507961,0,0
宮崎県,高卒,170.5,1042.0,6.948897222313312,0,0
鹿児島県,高卒,183.7,1549.0,7.3453648404168685,0,0
沖縄県,高卒,164.9,1468.0,7.291656209174461,0,0
北海道,大卒,239.4,5092.0,8.535425959677298,1,0
青森県,大卒,214.6,1184.0,7.076653815443951,1,0
岩手県,大卒,235.9,1163.0,7.0587581525186645,1,0
宮城県,大卒,218.4,2264.0,7.724888439323074,1,0
秋田県,大卒,267.7,914.0,6.81783057145415,1,0
山形県,大卒,220.1,1026.0,6.933423025730715,1,0
福島県,大卒,239.4,1767.0,7.4770384723196965,1,0
茨城県,大卒,236.0,2825.0,7.946263643580541,1,0
栃木県,大卒,228.9,1897.0,7.5480289699350145,1,0
群馬県,大卒,229.1,1902.0,7.550661243105336,1,0
埼玉県,大卒,244.9,7331.0,8.899867211223587,1,0
千葉県,大卒,236.1,6257.0,8.741456115998364,1,0
東京都,大卒,244.5,14086.0,9.552936675305356,1,0
神奈川県,大卒,242.7,9229.0,9.130105979265577,1,0
新潟県,大卒,215.8,2126.0,7.661997558901893,1,0
富山県,大卒,231.6,1007.0,6.914730892718563,1,0
石川県,大卒,228.0,1109.0,7.011213987350367,1,0
福井県,大卒,227.0,744.0,6.612041034833092,1,0
山梨県,大卒,225.4,796.0,6.679599185844383,1,0
長野県,大卒,228.6,2004.0,7.602900462204755,1,0
岐阜県,大卒,207.0,1931.0,7.565793282428515,1,0
静岡県,大卒,249.8,3555.0,8.176110342237342,1,0
愛知県,大卒,241.2,7477.0,8.919586920999915,1,0
三重県,大卒,229.5,1727.0,7.454141078146678,1,0
滋賀県,大卒,243.9,1407.0,7.249215057114389,1,0
京都府,大卒,239.4,2535.0,7.837948916025283,1,0
大阪府,大卒,235.6,8763.0,9.07829359105585,1,0
兵庫県,大卒,227.8,5370.0,8.58858318750291,1,0
奈良県,大卒,232.8,1296.0,7.16703787691222,1,0
和歌山県,大卒,239.0,892.0,6.79346613258001,1,0
鳥取県,大卒,202.4,537.0,6.285998094508865,1,0
島根県,大卒,218.5,650.0,6.476972362889683,1,0
岡山県,大卒,223.8,1847.0,7.52131798019924,1,0
広島県,大卒,223.6,2738.0,7.914983005848394,1,0
山口県,大卒,258.0,1298.0,7.168579897264035,1,0
徳島県,大卒,209.5,695.0,6.543911845564792,1,0
香川県,大卒,225.2,926.0,6.8308742346461795,1,0
愛媛県,大卒,213.7,1291.0,7.1631723908466425,1,0
高知県,大卒,211.1,666.0,6.501289670540389,1,0
福岡県,大卒,227.6,5103.0,8.537583881063972,1,0
佐賀県,大卒,246.0,795.0,6.678342114654332,1,0
長崎県,大卒,208.1,1267.0,7.144407180321139,1,0
熊本県,大卒,222.4,1709.0,7.443663683115591,1,0
大分県,大卒,222.9,1096.0,6.999422467507961,1,0
宮崎県,大卒,214.6,1042.0,6.948897222313312,1,0
鹿児島県,大卒,235.6,1549.0,7.3453648404168685,1,0
沖縄県,大卒,234.6,1468.0,7.291656209174461,1,0
北海道,大学院卒,257.1,5092.0,8.535425959677298,0,1
青森県,大学院卒,271.2,1184.0,7.076653815443951,0,1
岩手県,大学院卒,243.7,1163.0,7.0587581525186645,0,1
宮城県,大学院卒,308.1,2264.0,7.724888439323074,0,1
秋田県,大学院卒,220.5,914.0,6.81783057145415,0,1
山形県,大学院卒,249.7,1026.0,6.933423025730715,0,1
福島県,大学院卒,282.1,1767.0,7.4770384723196965,0,1
茨城県,大学院卒,261.0,2825.0,7.946263643580541,0,1
栃木県,大学院卒,272.2,1897.0,7.5480289699350145,0,1
群馬県,大学院卒,266.5,1902.0,7.550661243105336,0,1
埼玉県,大学院卒,255.0,7331.0,8.899867211223587,0,1
千葉県,大学院卒,247.6,6257.0,8.741456115998364,0,1
東京都,大学院卒,275.1,14086.0,9.552936675305356,0,1
神奈川県,大学院卒,328.1,9229.0,9.130105979265577,0,1
新潟県,大学院卒,242.2,2126.0,7.661997558901893,0,1
富山県,大学院卒,244.9,1007.0,6.914730892718563,0,1
石川県,大学院卒,243.5,1109.0,7.011213987350367,0,1
福井県,大学院卒,254.5,744.0,6.612041034833092,0,1
山梨県,大学院卒,281.1,796.0,6.679599185844383,0,1
長野県,大学院卒,258.0,2004.0,7.602900462204755,0,1
岐阜県,大学院卒,255.2,1931.0,7.565793282428515,0,1
静岡県,大学院卒,256.3,3555.0,8.176110342237342,0,1
愛知県,大学院卒,262.0,7477.0,8.919586920999915,0,1
三重県,大学院卒,326.7,1727.0,7.454141078146678,0,1
滋賀県,大学院卒,264.1,1407.0,7.249215057114389,0,1
京都府,大学院卒,282.5,2535.0,7.837948916025283,0,1
大阪府,大学院卒,269.1,8763.0,9.07829359105585,0,1
兵庫県,大学院卒,258.2,5370.0,8.58858318750291,0,1
奈良県,大学院卒,267.3,1296.0,7.16703787691222,0,1
和歌山県,大学院卒,248.4,892.0,6.79346613258001,0,1
鳥取県,大学院卒,240.8,537.0,6.285998094508865,0,1
島根県,大学院卒,245.0,650.0,6.476972362889683,0,1
岡山県,大学院卒,269.0,1847.0,7.52131798019924,0,1
広島県,大学院卒,232.9,2738.0,7.914983005848394,0,1
山口県,大学院卒,247.4,1298.0,7.168579897264035,0,1
徳島県,大学院卒,280.8,695.0,6.543911845564792,0,1
香川県,大学院卒,235.4,926.0,6.8308742346461795,0,1
愛媛県,大学院卒,238.9,1291.0,7.1631723908466425,0,1
高知県,大学院卒,231.6,666.0,6.501289670540389,0,1
福岡県,大学院卒,341.4,5103.0,8.537583881063972,0,1
佐賀県,大学院卒,235.0,795.0,6.678342114654332,0,1
長崎県,大学院卒,272.9,1267.0,7.144407180321139,0,1
熊本県,大学院卒,261.9,1709.0,7.443663683115591,0,1
大分県,大学院卒,293.0,1096.0,6.999422467507961,0,1
宮崎県,大学院卒,226.3,1042.0,6.948897222313312,0,1
鹿児島県,大学院卒,260.0,1549.0,7.3453648404168685,0,1
沖縄県,大学院卒,200.0,1468.0,7.291656209174461,0,1
